id,question_text,option_a,option_b,option_c,option_d,answer,difficulty,difficulty_numeric,answer_numeric,tag_encoded,option_a_numeric,option_b_numeric,option_c_numeric,option_d_numeric,correct_option_value,question_length,question_word_count,options_mean,options_std,options_range,answer_position,difficulty_rarity,difficulty_bin
2,3.5 can be expressed in terms of percentage as:,0.35%,3.50%,35%,350%,d,Very easy,0,3,1,0.35,3.5,35.0,350.0,350.0,-1.0094312743805276,-1.1057554486168473,-0.5836733736785543,-0.3946330510532045,-0.4054844950691539,3,0.05,very_easy
36,A number is divided into two parts in such a way that 75% of the 1st part is 12 less than 30% of the 2nd part and 50% of the 2nd part is 56 more than 80% of the 1st part. What is the number?,300,320,340,350,b,Easy,1,1,1,300.0,320.0,340.0,350.0,320.0,0.13110144452448333,0.43865565323403555,-0.49612340746973826,-0.5160752136012017,-0.5191278721743863,1,0.05,easy
26,"In a school 30% of the students play football and 50% of students play cricket. If 40% of the students play neither football nor cricket, what percentage of total students play both the games?",10,12,14,20,d,Easy,1,3,1,10.0,12.0,14.0,20.0,20.0,0.14705295108259536,-0.03324773899817867,-0.6153088361467783,-0.5308166665123135,-0.5342980209620029,3,0.05,easy
33,"In a big garden 40% of the trees are mango trees. The number of mango trees is 80% of the number of guava trees. The rest of the trees are Jambolan trees. If the number of Jambolan trees is 40, what is the total number of trees in the garden?",360,400,480,500,b,Easy,1,1,1,360.0,400.0,480.0,500.0,400.0,0.5458406150353964,0.6531571951577693,-0.45525440082609614,-0.4798206002337351,-0.48499503740224903,1,0.05,easy
56,"In an exam, the marks scored by A are 40% more than the marks scored by B who has scored 25% less than the marks scored by C. If C scores 250 and the full marks of the exam is 500, what is the percentage of marks obtained by A?",47.5,50,52.5,57.5,c,Moderate,2,2,1,47.5,50.0,52.5,57.5,52.5,0.42620431584955604,0.6531571951577693,-0.6009096396200068,-0.5308587207299611,-0.5342980209620029,2,0.05,moderate
67,"Four friends, Aman, Bhavesh, Seema and Karan, decided to pool their money together to donate to a charity. They had a total of Rs. 900. Aman had three times the amount that Seema had, while Bhavesh had Rs. 60 more than Karan. Aman and Bhavesh together had double the amount that Seema and Karan together had. Find the amount (in Rs.) with Aman.",360,240,320,450,a,Difficult,3,0,1,360.0,240.0,320.0,450.0,360.0,1.3593674494991104,1.210861204159477,-0.4904207553799277,-0.4622821181543479,-0.4584472770239201,0,0.05,difficult
80,"A teacher distributes some chocolates equally among all the students of a class. Each student gets 4 chocolates more than the total number of students in the class. If each student gets 2 chocolates less than the total number of students in the class, the teacher has to distribute 25% fewer chocolates. By what percent the total number of chocolates should be increased, such that on even distribution each student gets 8 chocolates more than the number of students in the class?",12.50%,16.67%,8.33%,15%,b,Difficult,3,1,1,12.5,16.67,8.33,15.0,16.67,2.444069895450729,2.025967063469665,-0.6156414908520172,-0.531389294555264,-0.534927582136689,1,0.05,difficult
48,"In 2020, 37.50% of the total employees of a company pay income tax. If 450 employees of the company did not pay tax, what is the total number of employees in the company?",600,660,720,780,c,Moderate,2,2,1,600.0,660.0,720.0,780.0,720.0,-0.02841362105663707,-0.07614804738292541,-0.3583093152993171,-0.47042492227481936,-0.4698248886146325,2,0.05,moderate
6,88% of 370 + 24% of 210 - ? = 118?,256,258,268,358,b,Very easy,0,1,1,256.0,258.0,268.0,358.0,258.0,-1.1131160670082558,-1.019954831847354,-0.5122809217242014,-0.49396650293040295,-0.4994066787504848,1,0.05,very_easy
10,218% of 1674 = ?  1800,0.5,4,6,9,d,Very easy,0,3,1,0.5,4.0,6.0,9.0,9.0,-1.208825106356928,-1.2344563737710876,-0.6187779495014131,-0.5314381767758665,-0.5348669015415385,3,0.05,very_easy
